ident,type,name,coordinates,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code
OAA,small_airport,Shank Air Base,"69.07722222219999, 33.9225",6890,AS,AF,AF-LOW,,OASH,OAA,
OAAK,small_airport,Andkhoi Airport,"65.206966667, 36.943322222",900,AS,AF,AF-FYB,Andkhoi,,,
OABN,small_airport,Bamiyan Airport,"67.81700134277344, 34.81700134277344",8367,AS,AF,AF-BAM,Bamiyan,OABN,BIN,
OABT,small_airport,Bost Airport,"64.36499786376953, 31.55970001220703",2464,AS,AF,AF-HEL,Bost,OABT,BST,
OACC,small_airport,Chakcharan Airport,"65.26699829101562, 34.53300094604492",7383,AS,AF,AF-GHO,Chakcharan,OACC,CCN,
OADS,small_airport,Sardeh Band Airport,"68.6364974976, 33.3207015991",6971,AS,AF,AF-GHA,Sardeh Band,OADS,SBF,
OADZ,small_airport,Darwaz Airport,"70.88249969482422, 38.46110153198242",5250,AS,AF,AF-BDS,Darwaz,OADZ,DAZ,
OAFR,small_airport,Farah Airport,"62.18299865722656, 32.367000579833984",3083,AS,AF,AF-FRA,Farah,OAFR,FAH,
OAFZ,small_airport,Fayzabad Airport,"70.518097, 37.121101",3872,AS,AF,AF-BDS,Fayzabad,OAFZ,FBD,
OAGN,small_airport,Ghazni Airport,"68.412902832, 33.5312004089",7150,AS,AF,AF-GHA,Ghazni,OAGN,GZI,
OAHN,small_airport,Khwahan Airport,"70.21700286865234, 37.882999420166016",3593,AS,AF,AF-BDS,Khwahan,OAHN,KWH,
OAHR,medium_airport,Herat Airport,"62.22829818725586, 34.209999084472656",3206,AS,AF,AF-HER,,OAHR,HEA,
OAIX,medium_airport,Bagram Air Base,"69.26499938959999, 34.9460983276",4895,AS,AF,AF-PAR,Bagram,OAIX,OAI,
OAJL,medium_airport,Jalalabad Airport,"70.49859619140625, 34.39979934692383",1814,AS,AF,AF-NAN,,OAJL,JAA,
OAKA,small_airport,Gardez Airport,"69.239402771, 33.631500244099996",7790,AS,AF,AF-PIA,Gardez,OAGZ,GRG,
OAKB,medium_airport,Kabul International Airport,"69.2123031616211, 34.56589889526367",5877,AS,AF,AF-KAB,Kabul,OAKB,KBL,
OAKG,small_airport,Khojaghar Airport,"69.36699676513672, 37.08300018310547",1607,AS,AF,AF-TAK,Khojaghar,OAKG,,
OAKN,medium_airport,Kandahar Airport,"65.8478012084961, 31.505800247192383",3337,AS,AF,AF-KAN,,OAKN,KDH,
OAKS,small_airport,Khost Airport,"69.952003479, 33.3334007263",3756,AS,AF,AF-PIA,Khost,OAKS,KHT,
OALG,small_airport,Logar Airport,"69.02310180664062, 33.98649978637695",6333,AS,AF,AF-LOW,,,,
OALL,small_airport,Lal (Sarjangal) Airport,"66.2978768349, 34.5070694108",9220,AS,AF,AF-GHO,,,,
OAMK,small_airport,Mukur Airport,"67.84860229492188, 32.879600524902344",6600,AS,AF,AF-GHA,,,,
OAMN,medium_airport,Maimana Airport,"64.76090240478516, 35.93080139160156",2743,AS,AF,AF-FYB,,OAMN,MMZ,
OAMS,medium_airport,Mazar I Sharif Airport,"67.20970153808594, 36.70690155029297",1284,AS,AF,AF-BAL,,OAMS,MZR,
OANL,small_airport,Nili Airport,"67.4885025024414, 35.887901306152344",,AS,AF,AF-SAM,,,,
OAOG,small_airport,Urgun Airport,"69.1563034058, 32.9318008423",7300,AS,AF,AF-PKA,Urgun,OAOG,URN,
OAPJ,small_airport,Panyab Airport,"67.02200317382812, 34.39780044555664",8800,AS,AF,AF-BAM,,,,
OAQM,small_airport,Kron Monajn Airport,"70.71700286865234, 36.16699981689453",8420,AS,AF,AF-BDS,Kron Monajn,OAQM,,
OAQN,small_airport,Qala-I-Naw Airport,"63.117801666259766, 34.98500061035156",2999,AS,AF,AF-BDG,Qala-I-Naw,OAQN,LQN,
OART,small_airport,Rustag Airport,"69.9000015258789, 37.099998474121094",4543,AS,AF,AF-TAK,,,,
OARZ,small_airport,Razer Airport,"70.7698974609375, 36.022701263427734",8269,AS,AF,AF-BDS,,,,
OASA,small_airport,Sharana Airstrip,"68.838517, 33.12575",7340,AS,AF,AF-PKA,Sharana,OASA,OAS,
OASD,small_airport,Shindand Airport,"62.2610015869, 33.3913002014",3773,AS,AF,AF-FRA,,OASD,OAH,
OASG,small_airport,Sheberghan Airport,"65.91320037841797, 36.75080108642578",1053,AS,AF,AF-JOW,,OASG,,
OASN,small_airport,Sheghnan Airport,"71.5, 37.56700134277344",6700,AS,AF,AF-BDS,Sheghnan,OASN,SGA,
OATD,heliport,Toorghodi Heliport,"62.29059982299805, 35.222198486328125",2600,AS,AF,AF-HER,Kara Tapa,,,
OATN,small_airport,Tarin Kowt Airport,"65.8657989502, 32.604198455799995",4429,AS,AF,AF-ORU,Tarin Kowt,OATN,TII,
OATQ,small_airport,Talolqan Airport,"69.5319976807, 36.7706985474",2606,AS,AF,AF-TAK,Taloqan,OATQ,TQN,
OATW,small_airport,Teh Wareh Airport,"64.42500305175781, 33.540000915527344",7370,AS,AF,AF-GHO,,,,
OAUZ,medium_airport,Konduz Airport,"68.91079711914062, 36.66510009765625",1457,AS,AF,AF-KDZ,,OAUZ,UND,
OAYL,small_airport,Yakawlang (Yakolang) Airport,"66.3031005859375, 34.513301849365234",8700,AS,AF,AF-GHO,,,,
OAYQ,small_airport,Yangi Qala Airport,"69.64659881591797, 37.45899963378906",1600,AS,AF,AF-TAK,,OAYQ,,
OAYW,small_airport,Yawan Airport,"70.44170379638672, 37.56169891357422",5645,AS,AF,AF-BDS,,OAYW,,
OAZI,small_airport,Camp Bastion Airport,"64.2246017456, 31.863800048799998",2943,AS,AF,AF-HEL,,OAZI,OAZ,
OAZJ,small_airport,Zaranj Airport,"61.865833, 30.972222",1572,AS,AF,AF-NIM,Zaranj,OAZJ,ZAJ,
OBBI,large_airport,Bahrain International Airport,"50.63359832763672, 26.27079963684082",6,AS,BH,BH-15,Manama,OBBI,BAH,
OBBS,medium_airport,Sheik Isa Air Base,"50.590599060058594, 25.918399810791016",136,AS,BH,BH-14,Sitrah,OBBS,,
OBK,closed,Sky Harbor Airport,"-87.85555555559999, 42.1438888889",675,NA,US,US-IL,Northbrook,,OBK,
OBKH,small_airport,Sakhir Air Base,"50.524544, 26.034533",49,AS,BH,BH-14,Zallaq,OBKH,,
OCS,small_airport,Corisco International Airport,"9.3304, 0.9125",55,AF,GQ,GQ-LI,Corisco Island,,OCS,
OE43,small_airport,Arfa Airport,"41.198299407958984, 21.32360076904297",4155,AS,SA,SA-02,,OE43,,OE43
OE45,small_airport,Ras Khafji Airport,"48.51649856567383, 28.38990020751953",50,AS,SA,SA-04,,OE45,,OE45
OE46,small_airport,Al Lidem Airport,"44.75749969482422, 20.475900650024414",2225,AS,SA,SA-01,,OE46,,OE46
OE47,small_airport,Al Kharj,"47.410804748535156, 24.06072235107422",,AS,SA,SA-01,,OE47,,
OE48,small_airport,Quz South Airport,"41.35499954223633, 18.893199920654297",200,AS,SA,SA-02,,OE48,,OE48
OE49,small_airport,Mecca East Airport,"39.99420166015625, 21.4375",1210,AS,SA,SA-02,,OE49,,OE49
OE50,small_airport,King Abdulaziz Naval Base,"49.7041015625, 26.941600799560547",10,AS,SA,SA-04,Jubail,,,
OE51,small_airport,Al Kharj East Airport,"47.65420150756836, 24.05150032043457",1650,AS,SA,SA-01,,OE51,,OE51
OE52,small_airport,Al Artawiyah South Airport,"45.321998596191406, 26.611600875854492",1900,AS,SA,SA-01,,OE52,,OE52
OE53,small_airport,King Abdul Aziz Military Academy Airport,"46.39120101928711, 24.942100524902344",2420,AS,SA,SA-01,,OE53,,OE53
OE54,small_airport,Hafar Al Atk Airport,"46.53670120239258, 25.99340057373047",1970,AS,SA,SA-01,,OE54,,OE54
OE55,small_airport,Ghafah Airport,"55.26729965209961, 21.226999282836914",699,AS,SA,SA-04,,OE55,,OE55
OE56,small_airport,Khalfan Airport,"53.28120040893555, 22.710100173950195",305,AS,SA,SA-04,,OE56,,OE56
OEAA,small_airport,Abu Ali Airport,"49.587100982666016, 27.31909942626953",69,AS,SA,SA-04,,OEAA,,
OEAB,medium_airport,Abha Regional Airport,"42.65660095210001, 18.240400314299997",6858,AS,SA,SA-14,Abha,OEAB,AHB,
OEAH,medium_airport,Al Ahsa Airport,"49.485198974609375, 25.28529930114746",588,AS,SA,SA-04,,OEAH,HOF,
OEBA,medium_airport,Al Baha Airport,"41.6343002319, 20.2961006165",5486,AS,SA,SA-11,,OEBA,ABT,
OEBH,medium_airport,Bisha Airport,"42.62089920043945, 19.984399795532227",3887,AS,SA,SA-14,,OEBH,BHH,
OEBQ,small_airport,Abqaiq Airport,"49.59120178222656, 25.911300659179688",229,AS,SA,SA-04,,OEBQ,,
OEDF,large_airport,King Fahd International Airport,"49.79790115356445, 26.471200942993164",72,AS,SA,SA-04,Ad Dammam,OEDF,DMM,
OEDM,medium_airport,Dawadmi Domestic Airport,"44.121201, 24.4499",3026,AS,SA,SA-01,,OEDM,,
OEDR,large_airport,King Abdulaziz Air Base,"50.152000427199994, 26.265399932900003",84,AS,SA,SA-04,,OEDR,DHA,
OEDW,medium_airport,Dawadmi Domestic Airport,"44.400001525878906, 24.5",3429,AS,SA,SA-01,Dawadmi,OEDW,DWD,
OEGN,medium_airport,Jizan Regional Airport,"42.58580017089844, 16.901100158691406",20,AS,SA,SA-09,Jizan,OEGN,GIZ,
OEGS,medium_airport,Gassim Airport,"43.77439880371094, 26.302799224853516",2126,AS,SA,SA-05,,OEGS,ELQ,
OEGT,medium_airport,Gurayat Domestic Airport,"37.278898, 31.412413",1672,AS,SA,SA-08,Gurayat,OEGT,URY,
OEHL,medium_airport,Ha'il Airport,"41.686298, 27.437901",3331,AS,SA,SA-06,Ha'il,OEHL,HAS,
OEHR,small_airport,Haradh Airport,"49.22432, 24.09653",110,AS,SA,SA-04,Harad,OEHR,,
OEHW,small_airport,Hawtah Airport,"46.89950180053711, 22.96780014038086",2091,AS,SA,SA-01,,OEHW,,
OEJB,medium_airport,Jubail Airport,"49.40510177612305, 27.038999557495117",26,AS,SA,SA-04,Jubail,OEJB,QJB,
OEJF,medium_airport,King Faisal Naval Base,"39.17300033569336, 21.348100662231445",7,AS,SA,SA-02,Jeddah,OEJF,,
OEJN,large_airport,King Abdulaziz International Airport,"39.156502, 21.6796",48,AS,SA,SA-02,Jeddah,OEJN,JED,
OEKK,medium_airport,King Khaled Military City Airport,"45.528198, 27.9009",1352,AS,SA,SA-04,King Khaled Military City,OEKK,KMC,
OEKM,medium_airport,King Khaled Air Base,"42.80350112915039, 18.297300338745117",6778,AS,SA,SA-14,,OEKM,KMX,
OEKR,small_airport,Khurais Airport,"48.19490051269531, 25.069599151611328",1300,AS,SA,SA-04,,OEKR,,
OEMA,large_airport,Prince Mohammad Bin Abdulaziz Airport,"39.705101, 24.5534",2151,AS,SA,SA-03,Medina,OEMA,MED,
OENG,medium_airport,Nejran Airport,"44.4192008972168, 17.611400604248047",3982,AS,SA,SA-10,,OENG,EAM,
OENR,small_airport,Nariya Airport,"48.5, 27.5",180,AS,SA,SA-04,Nariya,OENR,,
OEPA,medium_airport,Al Qaisumah/Hafr Al Batin Airport,"46.125099, 28.335199",1174,AS,SA,SA-04,Qaisumah,OEPA,AQI,
OEPC,small_airport,Pump Station 3 Airport,"47.488399505615234, 25.17449951171875",1740,AS,SA,SA-04,,OEPC,,
OEPF,small_airport,Pump Station 6 Airport,"44.964500427246094, 24.71030044555664",2530,AS,SA,SA-01,,OEPF,,
OEPI,small_airport,Pump Station 9 Airport,"42.143699645996094, 24.276100158691406",3000,AS,SA,SA-01,,OEPI,,
OEPJ,small_airport,Pump Station 10 Airport,"41.0359992980957, 24.1072998046875",2840,AS,SA,SA-03,,OEPJ,,
OEPK,small_airport,Ipsa 3 Airport,"46.74259948730469, 27.954200744628906",1000,AS,SA,SA-04,,OEPK,,
OEPS,medium_airport,Prince Sultan Air Base,"47.580501556396484, 24.062700271606445",1651,AS,SA,SA-01,,OEPS,AKH,
OERB,small_airport,Rabigh Airport,"39.069801330566406, 22.702600479125977",22,AS,SA,SA-02,,OERB,,
OERF,medium_airport,Rafha Domestic Airport,"43.4906005859375, 29.626399993896484",1474,AS,SA,SA-08,Rafha,OERF,RAH,
OERK,large_airport,King Khaled International Airport,"46.69879913330078, 24.957599639892578",2049,AS,SA,SA-01,Riyadh,OERK,RUH,
OERM,medium_airport,Ras Mishab Airport,"48.611000061035156, 28.079599380493164",13,AS,SA,SA-04,,OERM,,
OERR,medium_airport,Arar Domestic Airport,"41.13819885253906, 30.906600952148438",1813,AS,SA,SA-08,Arar,OERR,RAE,
OERT,medium_airport,Ras Tanura Airport,"50.030799865722656, 26.723100662231445",6,AS,SA,SA-04,,OERT,,
OERY,medium_airport,Riyadh Air Base,"46.72520065307617, 24.709800720214844",2082,AS,SA,SA-01,Riyadh,OERY,XXN,
OESB,small_airport,Shaibah Airport,"53.9640998840332, 22.51449966430664",300,AS,SA,SA-04,,OESB,,
OESH,medium_airport,Sharurah Airport,"47.12139892578125, 17.466899871826172",2363,AS,SA,SA-10,,OESH,SHW,
OESK,medium_airport,Al-Jawf Domestic Airport,"40.099998474121094, 29.78510093688965",2261,AS,SA,SA-12,Al-Jawf,OESK,AJF,
OESL,small_airport,Sulayel Airport,"45.619598388671875, 20.46470069885254",2021,AS,SA,SA-01,,OESL,SLF,
OETB,medium_airport,Tabuk Airport,"36.6189, 28.3654",2551,AS,SA,SA-07,Tabuk,OETB,TUU,
OETF,medium_airport,Ta’if Regional Airport,"40.543442, 21.483001",4848,AS,SA,SA-02,Ta’if,OETF,TIF,
OETH,small_airport,Thumamah Airport,"46.64099884033203, 25.21299934387207",1870,AS,SA,SA-01,,OETH,,OE44
OETN,medium_airport,Ras Tanajib Airport,"48.769100189208984, 27.867799758911133",30,AS,SA,SA-04,,OETN,,
OETR,medium_airport,Turaif Domestic Airport,"38.731544, 31.692188",2803,AS,SA,SA-08,Turaif,OETR,TUI,
OEUD,small_airport,Udhailiyah Airport,"49.3288002014, 25.1511001587",759,AS,SA,SA-04,Udhailiyah,OEUD,,
OEUM,small_airport,Umm Lajj Airport,"37.33300018310547, 25.16699981689453",50,AS,SA,SA-07,Umm Lejj,OEUM,,
OEWD,medium_airport,Wadi Al Dawasir Airport,"45.199600219699995, 20.504299163800003",2062,AS,SA,SA-01,,OEWD,WAE,
OEWJ,medium_airport,Al Wajh Domestic Airport,"36.47639846801758, 26.19860076904297",66,AS,SA,SA-07,Al Wajh,OEWJ,EJH,
OEYN,medium_airport,Prince Abdulmohsin Bin Abdulaziz Airport,"38.0634, 24.144199",26,AS,SA,SA-03,Yanbu,OEYN,YNB,
OEZL,small_airport,Zilfi Airport,"44.83300018310547, 26.350000381469727",1900,AS,SA,SA-01,Zilfi,OEZL,ZUL,
OG00,small_airport,3 Rivers Recreation Area Airport,"-121.4010009765625, 44.557899475097656",2695,NA,US,US-OR,Culver,OG00,,OG00
OG01,small_airport,Dunning Vineyards Airport,"-123.23300170898438, 44.59749984741211",240,NA,US,US-OR,Corvallis,OG01,,OG01
OG02,small_airport,Rieben Airport,"-123.08000183105469, 45.61029815673828",200,NA,US,US-OR,Banks,OG02,,OG02
OG03,heliport,Columbia Memorial Hospital Heliport,"-123.819742799, 46.1882686679",22,NA,US,US-OR,Astoria,OG03,,OG03
OG04,small_airport,Rothrock Field,"-118.62100219726562, 45.748600006103516",1450,NA,US,US-OR,Adams,OG04,,OG04
OG05,small_airport,Sundance Meadows Airport,"-121.20600128173828, 43.9900016784668",3850,NA,US,US-OR,Bend,OG05,,OG05
OG06,small_airport,Table Rock Airport,"-120.84300231933594, 43.21149826049805",4305,NA,US,US-OR,Christmas Valley,OG06,,OG06
OG07,small_airport,Cove Side Ranch Port Airport,"-117.81999969482422, 45.33359909057617",2770,NA,US,US-OR,Cove,OG07,,OG07
OG08,small_airport,Curtis Airfield,"-118.65599822998047, 45.80860137939453",1805,NA,US,US-OR,Helix,OG08,,OG08
OG09,heliport,Good Shepherd Hospital Heliport,"-119.30832088, 45.8478109634",460,NA,US,US-OR,Hermiston,OG09,,OG09
OG10,small_airport,Mt Hope Airport,"-122.82599639892578, 44.55720138549805",400,NA,US,US-OR,Lebanon,OG10,,OG10
OG11,heliport,Rose Garden Heliport,"-122.66600036621094, 45.532798767089844",138,NA,US,US-OR,Portland,OG11,,OG11
OG12,small_airport,Wilson Ranch Airport,"-120.52400207519531, 44.21220016479492",4220,NA,US,US-OR,Prineville,OG12,,OG12
OG13,small_airport,Fly By Night Airport,"-123.06999969482422, 42.24610137939453",1660,NA,US,US-OR,Ruch,OG13,,OG13
OG14,small_airport,Silvies Valley Ranch Airport,"-118.93115, 44.022441",4584,NA,US,US-OR,Seneca,OG14,,OG14
OG15,small_airport,Sage Ranch Airport,"-121.39099884033203, 44.23320007324219",3170,NA,US,US-OR,Sisters,OG15,,OG15
OG16,small_airport,Jim's Airstrip,"-123.21299743652344, 44.382598876953125",275,NA,US,US-OR,Halsey,OG16,,OG16
OG17,small_airport,Teed's Airport,"-120.46600341796875, 42.184898376464844",4930,NA,US,US-OR,Lakeview,OG17,,OG17
OG18,small_airport,Lawen Strip,"-118.83100128173828, 43.47959899902344",4130,NA,US,US-OR,Lawen,OG18,,OG18
OG19,small_airport,Bombay Farms Airport,"-121.23799896240234, 44.65010070800781",2385,NA,US,US-OR,Madras,OG19,,OG19
OG20,small_airport,Fairways Airport,"-122.5510025024414, 45.320701599121094",525,NA,US,US-OR,Oregon City,OG20,,OG20
OG21,small_airport,Dry Creek Airpark,"-120.822998046875, 44.195098876953125",3625,NA,US,US-OR,Prineville,OG21,,OG21
OG22,heliport,Mercy Hospital Heliport,"-123.366605043, 43.2429519063",495,NA,US,US-OR,Roseburg,OG22,,OG22
OG23,small_airport,Poverty Hollow Airport,"-123.39099884033203, 45.157100677490234",330,NA,US,US-OR,Sheridan,OG23,,OG23
OG24,small_airport,Flying D Ranch Airport,"-123.22200012207031, 43.38869857788086",730,NA,US,US-OR,Sutherlin,OG24,,OG24
OG25,small_airport,Firefly Ranch Airfield,"-122.92400360107422, 42.511199951171875",1310,NA,US,US-OR,White City,OG25,,OG25
OG26,small_airport,Roscoes Airport,"-123.48600006103516, 45.0619010925293",250,NA,US,US-OR,Willamina,OG26,,OG26
OG27,small_airport,Muddy Creek Airport,"-118.01200103759766, 44.940101623535156",3500,NA,US,US-OR,Haines,OG27,,OG27
OG28,small_airport,The Green Trees Ranch Airport,"-122.78299713134766, 44.68320083618164",1139,NA,US,US-OR,Scio,OG28,,OG28
OG29,small_airport,Mc Kinnon Airpark,"-122.241996765, 45.4306983948",658,NA,US,US-OR,Sandy,OG29,,OG29
OG30,small_airport,Aeroacres Airport,"-122.6050033569336, 45.31650161743164",420,NA,US,US-OR,Oregon City,OG30,,OG30
OG31,small_airport,Shady Cove Airpark,"-122.82599639892578, 42.60820007324219",1504,NA,US,US-OR,Shady Cove,OG31,,OG31
OG32,heliport,Mahlon Sweet Field,"-123.2229995727539, 44.12649917602539",364,NA,US,US-OR,Eugene,OG32,,OG32
OG33,small_airport,Oregon Sky Ranch Airport,"-118.40499877929688, 45.87900161743164",1357,NA,US,US-OR,Milton/Freewater,OG33,,OG33
OG34,small_airport,Meyer Riverside Airpark,"-122.8290023803711, 45.39979934692383",252,NA,US,US-OR,Tigard,OG34,,OG34
OG35,heliport,Mountain View Hospital Heliport,"-121.1202389, 44.638631793799995",2299,NA,US,US-OR,Madras,OG35,,OG35
OG36,small_airport,Munson Airport,"-123.22799682617188, 44.25040054321289",302,NA,US,US-OR,Junction City,OG36,,OG36
OG37,heliport,Salem Hospital Heliport,"-123.0350037, 44.93349838",274,NA,US,US-OR,Salem,OG37,,OG37
OG38,heliport,Valley Medical Center Heliport,"-123.16300201416016, 45.19940185546875",159,NA,US,US-OR,Mcminnville,OG38,,OG38
OG39,small_airport,Longview Ranch Airport,"-119.6520004272461, 44.66170120239258",2080,NA,US,US-OR,Kimberly,OG39,,OG39
OG40,small_airport,Napier Ranch Airport,"-123.49299621582031, 43.237300872802734",485,NA,US,US-OR,Roseburg,OG40,,OG40
OG41,small_airport,Nace Family Airstrip,"-123.31500244140625, 42.77119827270508",1550,NA,US,US-OR,Glendale,OG41,,OG41
OG42,small_airport,Quail Field,"-118.58999633789062, 45.65489959716797",1610,NA,US,US-OR,Pendleton,OG42,,OG42
OG43,heliport,Mid-Coloumbia Fire & Rescue Heliport,"-121.20400238, 45.6062011719",160,NA,US,US-OR,The Dalles,OG43,,OG43
OG44,small_airport,Watts Landing Airport,"-123.23699951171875, 45.15340042114258",155,NA,US,US-OR,Amity,OG44,,OG44
OG45,small_airport,Bald Mountain Airport,"-117.87200164794922, 44.61690139770508",4640,NA,US,US-OR,Baker City,OG45,,OG45
OG46,heliport,Tuality Hospital Heliport,"-122.9800033569336, 45.52790069580078",260,NA,US,US-OR,Hillsboro,OG46,,OG46
OG47,heliport,Three Valleys Ranch Heliport,"-117.74700164794922, 44.49440002441406",3455,NA,US,US-OR,Baker City,OG47,,OG47
OG48,small_airport,Greer Airport,"-123.072998046875, 44.195899963378906",360,NA,US,US-OR,Coburg,OG48,,OG48
OG49,small_airport,Coca Cola Airport,"-123.25900268554688, 44.42190170288086",300,NA,US,US-OR,Corvalis,OG49,,OG49
OG50,small_airport,Cottonwood Creek Ranch Airport,"-117.5739974975586, 43.847198486328125",2555,NA,US,US-OR,Harper,OG50,,OG50
OG51,small_airport,Six Springs Ranch Airport,"-120.91600036621094, 44.48350143432617",3780,NA,US,US-OR,Madras,OG51,,OG51
OG52,small_airport,Jpm Airport,"-123.25900268554688, 44.83919906616211",260,NA,US,US-OR,Monmouth,OG52,,OG52
OG53,small_airport,Wildhorse Valley Airport,"-118.60800170898438, 42.48789978027344",4225,NA,US,US-OR,Andrews,OG53,,OG53
OG54,small_airport,Shaniko Cattle Airport,"-120.88500213623047, 44.96009826660156",3300,NA,US,US-OR,Shaniko,OG54,,OG54
OG55,heliport,Providence Newberg Medical Center Heliport,"-122.93699645996094, 45.30820083618164",207,NA,US,US-OR,Newberg,OG55,,OG55
OG56,heliport,Station Thirty Heliport,"-123.79399871826172, 46.15190124511719",42,NA,US,US-OR,Astoria,OG56,,OG56
OG57,heliport,Pier 126 Heliport,"-124.094067, 43.974783",13,NA,US,US-OR,Florence,OG57,,OG57
OG58,heliport,Erickson Air-Crane Admin Offices Heliport,"-122.904888889, 42.42997222219999",1212,NA,US,US-OR,Central Point,OG58,,OG58
OG62,heliport,Myrtle Creek Municipal Heliport,"-123.28099822998047, 43.02330017089844",608,NA,US,US-OR,Myrtle Creek,OG62,,OG62
OG63,small_airport,Gilbert Airport,"-123.039444, 45.648889",211,NA,US,US-OR,North Plains,OG63,,OG63
OGE,small_airport,Ogeranang Airport,"147.364166667, -6.46675",5850,OC,PG,PG-MPL,,AYOG,OGE,OGN
OGM,small_airport,Ogubsucum Airport,"-77.93385, 9.1383",13,NA,PA,PA-KY,Ustupo,,OGM,
OH02,closed,Eickmeier Airport,"-83.954697, 41.294498",694,NA,US,US-OH,Mc Clure,,,
OH03,small_airport,Woodworth Airport,"-81.05819702148438, 41.792301177978516",678,NA,US,US-OH,Madison,OH03,,OH03
OH05,heliport,Akron General Medical Center Heliport,"-81.53119659423828, 41.07809829711914",938,NA,US,US-OH,Akron,OH05,,OH05
OH07,small_airport,Sunset Strip,"-81.23899841308594, 40.94390106201172",1190,NA,US,US-OH,Marlboro,OH07,,OH07
OH10,heliport,Midwestern Heliport,"-81.53459930419922, 40.778099060058594",986,NA,US,US-OH,Massillon,OH10,,OH10
OH11,small_airport,Arnold Airport,"-82.09220123291016, 39.110599517822266",930,NA,US,US-OH,Harrisonville,OH11,,OH11
OH12,heliport,Remington Heliport,"-82.67130279541016, 40.097599029541016",1175,NA,US,US-OH,Alexandria,OH12,,OH12
OH13,small_airport,Bulick Field,"-81.05819702148438, 40.76810073852539",1285,NA,US,US-OH,Minerva,OH13,,OH13
OH14,closed,Brown's Lakeside Landings Airport,"-82.9168, 40.279202",970,NA,US,US-OH,Sunbury,,,
OH15,small_airport,Minerva Airport,"-81.14430236816406, 40.74589920043945",1080,NA,US,US-OH,Minerva,OH15,,OH15
OH16,closed,Middletown Hospital Heliport,"-84.375801, 39.510201",740,NA,US,US-OH,Middletown,,,
OH17,small_airport,August Acres Airport,"-82.78179931640625, 40.162601470947266",1100,NA,US,US-OH,Center Village,OH17,,OH17
OH18,small_airport,Freefall Field,"-83.14029693603516, 40.932498931884766",885,NA,US,US-OH,Sycamore,OH18,,OH18
OH19,small_airport,Hiltner Airport,"-84.21489715576172, 41.154998779296875",725,NA,US,US-OH,North Creek,OH19,,OH19
OH20,closed,Spring Valley Farm Airport,"-81.701202, 40.9198",1000,NA,US,US-OH,Marshallville,,,
OH21,small_airport,Horning Airport,"-82.75270080566406, 40.73619842529297",1190,NA,US,US-OH,Galion,OH21,,OH21
OH22,small_airport,Stoltzfus Airfield,"-81.77899932861328, 40.761199951171875",1130,NA,US,US-OH,Kidron,OH22,,OH22
OH23,heliport,O'Bleness Memorial Hospital Heliport,"-82.11430358886719, 39.326698303222656",720,NA,US,US-OH,Athens,OH23,,OH23
OH24,small_airport,Brookfield Airpark,"-80.5790023803711, 41.22480010986328",1040,NA,US,US-OH,Brookfield,OH24,,OH24
OH25,heliport,Grady Memorial Hospital Heliport,"-83.09030151367188, 40.30609893798828",969,NA,US,US-OH,Delaware,OH25,,OH25
OH26,small_airport,Birdland Airport,"-81.106201171875, 41.65639877319336",1160,NA,US,US-OH,Thompson,OH26,,OH26
OH27,small_airport,Salem Lakefront Airport,"-80.84539794921875, 40.80780029296875",1170,NA,US,US-OH,Salem,OH27,,OH27
OH28,small_airport,Donner Field,"-83.5999984741211, 39.36669921875",990,NA,US,US-OH,Leesburg,OH28,,OH28
OH29,small_airport,Petersburg Airport,"-80.5553970336914, 40.90060043334961",1174,NA,US,US-OH,Petersburg,OH29,,OH29
OH30,heliport,Whalen Heliport,"-84.17030334472656, 38.993099212646484",890,NA,US,US-OH,Amelia,OH30,,OH30
OH31,heliport,Sycamore Hospital Heliport,"-84.24739837646484, 39.50419998168945",940,NA,US,US-OH,Miamisburg,OH31,,OH31
OH32,small_airport,Stone Airport,"-83.42739868164062, 41.00640106201172",835,NA,US,US-OH,Alvada,OH32,,OH32
OH33,closed,Humphries Rotordrome Airport,"-84.204101, 39.056702",840,NA,US,US-OH,Amelia,,,
OH34,small_airport,Leis Airport,"-84.6615982055664, 40.20589828491211",1015,NA,US,US-OH,Ansonia,OH34,,OH34
OH35,small_airport,Mission Field,"-82.82270050048828, 39.42839813232422",900,NA,US,US-OH,Hallsville,OH35,,OH35
OH36,small_airport,Riverside Airport,"-81.98370361328125, 39.98619842529297",700,NA,US,US-OH,Zanesville,OH36,,OH36
OH37,closed,Glade STOLport,"-82.788496, 39.011701",690,NA,US,US-OH,Beaver,,,
OH38,small_airport,Blue Bird Airport,"-81.61650085449219, 39.31449890136719",780,NA,US,US-OH,Belpre,OH38,,OH38
OH39,small_airport,Pine Lake Airport,"-82.91929626464844, 40.234798431396484",1000,NA,US,US-OH,Berkshire,OH39,,OH39
OH41,closed,Cutler Field,"-83.111902, 40.1931",945,NA,US,US-OH,Powell,,,
OH42,small_airport,Hawk's Nest Airport,"-82.393798828125, 40.54010009765625",1260,NA,US,US-OH,Butler,OH42,,OH42
OH43,small_airport,Anderson Airport,"-82.73320007324219, 39.83340072631836",800,NA,US,US-OH,Canal Winchester,OH43,,OH43
OH44,small_airport,Grover Airport,"-82.94629669189453, 40.22060012817383",945,NA,US,US-OH,Cheshire,OH44,,OH44
